Source,Target,Type,Id,Label,Weight
Ассоциация революционного искусства Украины,С. И. Томах,Directed,215,,1
Ассоциация революционного искусства Украины,Э. О. Шехтман,Directed,216,,1
Ассоциация революционного искусства Украины,М. И. Гречина,Directed,217,,1
Ассоциация революционного искусства Украины,П. А. Король,Directed,219,,1
Ассоциация революционного искусства Украины,Е. В. Холостенко,Directed,221,,1
Ассоциация революционного искусства Украины,И. Бабий,Directed,222,,1
Ассоциация революционного искусства Украины,Н. П. Глущенко,Directed,223,,1
Ассоциация революционных художников Грузии,Р. Е. Амиров,Directed,224,,1
Ассоциация революционных художников Грузии,А. Бахтадзе,Directed,225,,1
Ассоциация революционных художников Грузии,В. Д. Григолиа,Directed,226,,1
Ассоциация революционных художников Грузии,Г. С. Григорян,Directed,227,,1
Ассоциация революционных художников Грузии,В. Д. Гудиашвили,Directed,228,,1
Ассоциация революционных художников Грузии,С. Заалишвили,Directed,229,,1
Ассоциация революционных художников Грузии,Д. Н. Какабадзе,Directed,230,,1
Ассоциация революционных художников Грузии,Н. П. Канделаки,Directed,231,,1
Ассоциация революционных художников Грузии,И. А. Каралов,Directed,232,,1
Ассоциация революционных художников Грузии,С. Н. Кецховели,Directed,233,,1
Ассоциация революционных художников Грузии,В. А. Кешелава,Directed,234,,1
Ассоциация революционных художников Грузии,А. Копалейшвили,Directed,235,,1
Ассоциация революционных художников Грузии,С. Кубанейшвили,Directed,236,,1
Ассоциация революционных художников Грузии,А. К. Кутателадзе,Directed,237,,1
Ассоциация революционных художников Грузии,В. К. Кутателадзе,Directed,238,,1
Ассоциация революционных художников Грузии,Д. Е. Кутателадзе,Directed,239,,1
Ассоциация революционных художников Грузии,В. И. Леманджава,Directed,240,,1
Ассоциация революционных художников Грузии,С. Д. Майсашвили,Directed,241,,1
Ассоциация революционных художников Грузии,А. Макашвили,Directed,242,,1
Ассоциация революционных художников Грузии,К. М. Мерабишвили,Directed,243,,1
Ассоциация революционных художников Грузии,Ш. В. Микатадзе,Directed,244,,1
Ассоциация революционных художников Грузии,Г. И. Мирзоев,Directed,245,,1
